,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
26,0,1,190,0,2,TRUE,9-Feb,BOB STOOD with his HANDS on his HIPS,DOUG STOOD WITH HIS HANDS BEHIND HIS BACK,0,1,1,0,,2,4,0.5
27,-180,-1,162,-3,0,FALSE,15-Aug,the DROWNING MAN LET OUT a YELL,THE DROWING MAN ASKED FOR HELP,1,1,0,0,0,2,5,0.4
28,180,1,39,0,2,FALSE,14-Jul,i ATE a PIECE of CHOCOLATE FUDGE,I ATE A PIECE OF CHOCOLATE FUDGE,1,1,1,1,,4,4,1
29,-90,-1,140,-6,3,FALSE,6-Aug,the BRIDE WORE a WHITE GOWN,I WOULD LIKE TO KNOW THE WAY OUT,0,0,0,0,,0,4,0
30,0,1,36,-6,2,FALSE,21-Jan,MARY WORE her HAIR in BRAIDS,MARY WENT FOR A WALK IN THE WOODS ALONE,1,0,0,0,,1,4,0.25
31,0,-1,53,-6,0,TRUE,22-Mar,please WIPE your FEET on the MAT,SHOP,0,0,0,,,0,3,0
32,0,-1,120,0,1,FALSE,2-Jun,the DOCTOR CHARGED a LOW FEE,THE DOCTOR CHARGED A LOW FEE,1,1,1,1,,4,4,1
33,0,1,166,-3,0,FALSE,13-Apr,she MADE the BED with CLEAN SHEETS,SHE MEET THE MAN AT THE BEACH,0,0,0,0,,0,4,0
34,0,-1,170,-3,2,TRUE,20-Jun,the BURGLAR ESCAPED with the LOOT,THE SOMETHING WAS VERY LAME,0,0,0,,,0,3,0
35,-90,-1,191,-3,3,FALSE,2-Jul,the COP WORE a BULLET-PROOF VEST,THE COP WORE A UNIFORM TO THE FESTIVAL,1,1,0,0,,2,4,0.5
36,0,-1,121,-6,3,FALSE,11-Jan,the WITNESS TOOK a SOLEMN OATH,THE SOMETHING WAS FOR THEM BOTH,0,0,0,0,,0,4,0
37,180,1,78,-6,1,FALSE,20-Jan,he KILLED the DRAGON with his SWORD,THE SOMETHING WAS FOR A NICE DRESS,0,0,0,,,0,3,0
38,-180,-1,126,-3,1,FALSE,2-Aug,i CUT my FINGER with a KNIFE,I WENT TO THE STORE BUT THEY HAD NOTHING LEFT,0,0,0,,,0,3,0
39,90,1,66,0,0,FALSE,22-Jun,the BLOODHOUND FOLLOWED the TRAIL,THE BLOODHOUND FOLLOWED A TRAIL,1,1,1,,,3,3,1
40,-90,-1,106,-6,1,FALSE,11-Feb,the CUSHION WAS FILLED with FOAM,THE PARTY WAS VERY FUN,0,1,0,0,,1,4,0.25
41,0,1,70,0,3,TRUE,13-Feb,this NOZZLE SPRAYS a FINE MIST,THE NOVEL SPOKE OF A FINE MIST,0,0,1,1,,2,4,0.5
42,0,1,89,-3,1,FALSE,7-Apr,the STEAMSHIP LEFT on a CRUISE,THE STEAMSHIP LEFT THE HARBORN AT TWO,1,1,0,,,2,3,0.666666667
43,0,-1,157,-3,1,TRUE,9-Apr,the MEAT from a PIG IS CALLED PORK,SOMETHING LOCATION SOMETHING,0,0,0,0,0,0,5,0
44,-180,-1,46,0,1,FALSE,22-Apr,he IS EMPLOYED by a LARGE FIRM,HE IS EMPLOYED BY A LARGE FIRM,1,1,1,1,,4,4,1
45,0,-1,165,-6,1,TRUE,10-May,the BOY TOOK SHELTER in a CAVE,TRAVELED,0,0,0,0,,0,4,0
46,-90,-1,147,-3,0,FALSE,24-Jul,THROW OUT all this USELESS JUNK,ROW OUT AND BOAT,0,1,0,0,,1,4,0.25
47,0,-1,31,0,1,FALSE,16-May,the SWIMMER DOVE into the POOL,THE SWIMMERS ALL GOT INTO THE POOL,0,0,1,,,1,3,0.333333333
48,180,1,160,-3,3,FALSE,25-Jun,FOOTBALL IS a DANGEROUS SPORT,THE DOGS WERE ON THE SCENT,0,0,0,0,,0,4,0
49,-90,-1,152,-6,1,FALSE,14-Feb,the SPORT SHIRT HAS SHORT SLEEVES,THE SPORTSMAN ANNOUCED THE NEWS,0,0,0,0,0,0,5,0
50,0,1,99,-6,1,FALSE,22-Jan,we ARE LOST so LET us LOOK at the MAP,LOCKS WERE FOR THE CLOSED DOOR,0,0,0,0,0,0,5,0
51,0,1,84,0,3,FALSE,4-Jan,the OLD TRAIN WAS POWERED by STEAM,THE TRAIN WAS POWERED BY STEAM,0,1,1,1,1,4,5,0.8
52,0,-1,19,-6,0,TRUE,11-Aug,the SHEPHERD WATCHED his FLOCK of SHEEP,THE GIRL WALKED FAR INTO THE WOODS,0,0,0,0,,0,4,0
53,180,1,65,0,3,FALSE,1-May,"it IS GETTING DARK, so LIGHT the LAMP",JOSH SAW AND TURNED TO LIGHT THE LAMP,0,0,0,1,1,2,5,0.4
54,0,-1,22,0,1,TRUE,7-Jan,HOLD the BABY on your LAP,MAID,0,0,0,,,0,3,0
55,90,1,79,-3,3,FALSE,2-Apr,the WORKERS ARE DIGGING a DITCH,HUGE,0,0,0,0,,0,4,0
56,180,1,58,-6,3,FALSE,7-Aug,i CANNOT GUESS so GIVE me a HINT,WISHED FOR A ,0,0,0,0,,0,4,0
57,0,1,111,-3,3,FALSE,21-Feb,the DOOR WAS OPENED just a CRACK,THE DOOR WAS OPENED ,1,1,1,0,,3,4,0.75
58,90,1,15,0,1,FALSE,17-Mar,MR. BROWN CARVED the ROAST BEEF,MR BROWN CARVED THE ROAST BEEF,1,1,1,1,1,5,5,1
59,0,-1,153,-3,0,TRUE,14-Mar,he TOSSED the DROWNING MAN a ROPE,OFT AND ALONE OUT THERE,0,0,0,0,,0,4,0
60,90,1,193,-6,0,FALSE,5-Jul,MAPLE SYRUP is MADE from SAP,PEOPLE STOPPED AND STARED ALL THE TIME,0,0,0,0,,0,4,0
61,90,1,168,-3,2,FALSE,23-Jul,CUT the BACON into STRIPS,THE COP STOPPED AT ALL THE SHIPS,0,0,0,,,0,3,0
62,-180,-1,57,-6,0,FALSE,3-Feb,the NATIVES BUILT a WOODEN HUT,THE WAS BUILT ON THAT NIGHT,0,1,0,0,,1,4,0.25
63,0,-1,173,-3,3,FALSE,9-Mar,she FACED them with a FOOLISH GRIN,THE WAS OUT ON THE PIER,0,0,0,,,0,3,0
64,0,1,185,-6,3,FALSE,16-Jul,at BREAKFAST he DRANK SOME JUICE,FOR BREAKFAST I WOULD LIKE SOME JUICE,1,0,1,1,,3,4,0.75
65,90,1,133,0,2,FALSE,18-Feb,the FLOOD TOOK a HEAVY TOLL,THE FLOOD TOOK A HEAVY TOLL,1,1,1,1,,4,4,1
66,0,-1,102,-3,0,TRUE,3-Aug,GREET the HEROES with LOUD CHEERS,LOUD AS THE TREES,0,0,1,0,,1,4,0.25
67,180,1,175,-3,0,FALSE,6-Mar,the KING WORE a GOLDEN CROWN,THE CAT LOOKED DOWN AT THE GROUND,0,0,0,0,,0,4,0
68,0,-1,81,0,3,TRUE,8-May,the CHICKS FOLLOWED the MOTHER HEN,FOLLOWED THE LONG ROAD,0,1,0,0,,1,4,0.25
69,180,1,8,0,1,FALSE,12-Jul,the COOKIES WERE KEPT in a JAR,THE COOKIES WERE KEPT IN A JAR,1,1,1,1,,4,4,1
70,0,-1,119,-6,2,TRUE,10-Mar,WATERMELONS HAVE LOTS of SEEDS,HE WAS FOLLWED IN TIME,0,0,0,0,,0,4,0
71,0,1,49,0,2,FALSE,12-Aug,DAVID WIPED the SWEAT from his BROW,DAVID WIPED THE SWEAT FROM HIS BROW,1,1,1,1,,4,4,1
72,180,1,118,-3,1,FALSE,15-Jan,the SUPER HIGHWAY HAS SIX LANES,THE SUPER HIGHWAY HAS SIX LANES,1,1,1,1,1,5,5,1
73,0,-1,29,-6,1,TRUE,4-Mar,my T.V. HAS a TWELVE-INCH SCREEN,DIRECTLY,0,0,0,0,,0,4,0
74,0,-1,179,-6,2,FALSE,25-Mar,a BICYCLE HAS TWO WHEELS,A BICYCLE HAS TWO WHEELS,1,1,1,1,,4,4,1
75,0,-1,141,0,2,FALSE,6-May,he WIPED the SINK with a SPONGE,HE WIPED THE SINK WITH A SPONGE,1,1,1,,,3,3,1
76,0,-1,17,0,1,TRUE,19-Jan,we HEARD the TICKING of the CLOCK,WE HEARD THEM KNOWING,1,0,0,,,1,3,0.333333333
77,-180,-1,113,0,2,FALSE,24-Mar,he HIT me with a CLENCHED FIST,HE HIT ME WITH A CLENCHED FIST,1,1,1,,,3,3,1
78,0,-1,110,-3,0,FALSE,17-Jan,the BEER DRINKERS RAISED their MUGS,THE BEER DRINKERS WENT TO THE BAR,1,1,0,0,,2,4,0.5
79,-90,-1,95,-6,2,FALSE,25-May,the LANDLORD RAISED the RENT,THE LAD KNEW THE WAY WEST,0,0,0,,,0,3,0
80,-90,-1,45,0,3,FALSE,13-Mar,the SAILOR SWABBED the DECK,THE SAILOR SWABBED THE DECK,1,1,1,,,3,3,1
81,0,-1,125,-3,3,TRUE,13-Jul,the MARKSMAN TOOK CAREFUL AIM,HE,0,0,0,0,,0,4,0
82,90,1,40,-3,3,FALSE,6-Jun,"instead of a FENCE, PLANT a HEDGE",KNEW THE BEST,0,0,0,,,0,3,0
83,-180,-1,128,-6,1,FALSE,12-Apr,how DID your CAR GET that DENT,WAY OUT ,0,0,0,0,,0,4,0
84,0,-1,93,0,3,TRUE,3-Mar,we SHIPPED the FURNITURE by TRUCK,CHEESE ,0,0,0,,,0,3,0
85,0,1,145,-3,1,TRUE,20-Jul,his BOSS MADE him WORK like a SLAVE,SHE FOUND THE LINES,0,0,0,0,,0,4,0
86,90,1,23,0,1,FALSE,9-May,the FUR COAT WAS MADE of MINK,THE FUR COAT WAS MADE OF MINK,1,1,1,1,1,5,5,1
87,0,1,154,-3,1,FALSE,18-May,the HOUSE WAS ROBBED by a THIEF,THE BANK WAS ROBBED BY THE CLERK,0,1,1,0,,2,4,0.5
88,-180,-1,21,-3,3,FALSE,11-Jul,TIGHTEN the BELT by a NOTCH,THE DEATH WAS A TRAP,0,0,0,,,0,3,0
89,180,1,73,-6,3,FALSE,10-Jul,"to OPEN the JAR, TWIST the LID",THE GENERAL WAS REVIERED BY HIS MEN,0,0,0,0,,0,4,0
90,90,1,164,-3,0,FALSE,8-Jul,the CROOK ENTERED a GUILTY PLEA,THE CROOK ENTERED THE BASEMENT,1,1,0,0,,2,4,0.5
91,0,1,33,0,2,FALSE,6-Feb,the WEDDING BANQUET WAS a FEAST,THE WEDDING BANQUET WAS A FEAST,1,1,1,1,,4,4,1
92,180,1,27,0,2,FALSE,8-Mar,the NURSE GAVE him FIRST AID,THE NURSE GAVE THEM FIRST AID,1,1,1,1,,4,4,1
93,90,1,159,-6,0,FALSE,1-Apr,the DOCTOR X-RAYED his CHEST,THE DOCTOR XRAYED HIS CHEST,1,1,1,,,3,3,1
94,0,1,127,-6,2,TRUE,3-May,the MOUSE WAS CAUGHT in the TRAP,CHEST,0,0,0,0,,0,4,0
95,0,1,88,-6,1,FALSE,17-Jun,we GOT DRUNK in the LOCAL BAR,WE BROUGHT OUR TRUCK TO THE PARK,0,0,0,0,,0,4,0
96,-180,-1,178,-3,2,FALSE,3-Jun,the GAMBLER LOST the BET,THE GAP WAS OUT IN THE MILK,0,0,0,,,0,3,0
97,-90,-1,64,0,0,FALSE,24-Jun,she HATED to VACUUM the RUG,SHE HATED THE SMALL SPACE,1,0,0,,,1,3,0.333333333
98,0,1,37,-6,0,FALSE,21-Apr,the SANDAL HAS a BROKEN STRAP,THE BACKPACK HAD A BROKEN STRAP,0,0,1,1,,2,4,0.5
99,0,-1,71,0,3,FALSE,7-Jun,DROP the COIN through the SLOT,HE DROPPED THE COIN THROUH THE SLOT,0,1,1,,,2,3,0.666666667
100,180,1,112,-6,0,FALSE,21-Mar,the LONELY BIRD SEARCHED for its MATE,THE LONELY PURSE HAD A SINGLE COIN,1,0,0,0,,1,4,0.25
101,0,1,129,-6,0,TRUE,24-Jan,my SON HAS a DOG for a PET,DOGS ATE THEIR MEAL ,0,0,0,0,,0,4,0
102,-90,-1,124,-3,2,FALSE,9-Jun,the WIDOWs SOB EXPRESSED her GRIEF,THE WINDOW WAS OLD AND OUT OF FRAME,0,0,0,0,,0,4,0
103,180,1,132,0,0,FALSE,22-May,ANN WORKS in the BANK as a CLERK,ANN WORKS IN THE BANK AS A CLEARK,1,1,1,1,,4,4,1
104,0,-1,2,0,2,TRUE,24-Aug,CUT the MEAT into SMALL CHUNKS,HE CUT THE MEAT INTO SMALL CHUNKS,1,1,1,1,,4,4,1
105,90,1,149,-6,2,FALSE,18-Jul,the STALE BREAD WAS COVERED with MOLD,THE STALE BREAD WAS ALL THERE WAS ON THE BOAT,1,1,1,0,0,3,5,0.6
106,0,-1,54,-3,3,FALSE,10-Feb,the CIGARETTE SMOKE FILLED his LUNGS,THE SMALL MOVEMENT ,0,0,0,0,,0,4,0
107,0,-1,86,-3,2,TRUE,25-Jan,he WAS SCARED out of his WITS,DAY,0,0,0,,,0,3,0
108,0,1,150,0,0,FALSE,6-Jul,they PLAYED a GAME of CAT and MOUSE,THEY PLAYED A GAME OF CAT AND MOUSE,1,1,1,1,,4,4,1
109,90,1,61,-3,1,FALSE,12-Feb,RUTH POURED the WATER down the DRAIN,THEY BOTH POURED THE WATER DOWN THE DRAIN,0,1,1,1,,3,4,0.75
110,0,-1,38,-6,1,TRUE,21-Aug,BOB WAS CUT by the JACKKNIFEs BLADE,DUST SETTLED ALL OVER THE PLACE,0,0,0,0,0,0,5,0
111,0,-1,83,0,0,TRUE,25-Apr,a ZEBRA HAS BLACK and WHITE STRIPES,THE CLOWN WAS WEARING WHITE STRIPES,0,0,0,1,1,2,5,0.4
112,90,1,135,-6,1,FALSE,10-Jan,they DRANK a WHOLE BOTTLE of GIN,THE CLEAR WERE OUTDOORS,0,0,0,0,,0,4,0
113,180,1,75,0,3,FALSE,12-Jan,they TRACKED the LION to his DEN,THEY DRAGGED THE LINE TO THE LADDER,0,0,0,,,0,3,0
114,0,1,136,-3,0,TRUE,14-Jun,the FRUIT WAS SHIPPED in WOODEN CRATES,SOUP,0,0,0,0,0,0,5,0
115,0,-1,34,-6,0,FALSE,1-Mar,KILL the BUGS with this SPRAY,THE BUGS WITH THE SPRAY,0,1,1,,,2,3,0.666666667
116,90,1,77,0,0,FALSE,18-Aug,the RAILROAD TRAIN RAN off the TRACK,THE RAILROAD TRAIN RAN OFF THE TRACK,1,1,1,1,,4,4,1
117,180,1,163,-3,0,FALSE,11-Jun,he WAS HIT by a POISONED DART,IT WAS A SUN,1,0,0,0,,1,4,0.25
118,0,-1,115,-3,0,FALSE,18-Jun,a TERMITE LOOKS like an ANT,THE TERMITE WAS UNDERHAND,1,0,0,,,1,3,0.333333333
119,-180,-1,6,-6,2,FALSE,20-Feb,the POLICEMEN CAPTURED the CROOK,THE CAR WAS OUTSIDE THE BARN,0,0,0,,,0,3,0
120,180,1,56,-6,0,FALSE,6-Jan,the DOCTOR PRESCRIBED the DRUG,THE DOCTOR WAS MORE CONERED,1,0,0,,,1,3,0.333333333
121,180,1,142,0,0,FALSE,1-Jan,his PLANS MEANT TAKING a BIG RISK,HIS PLANS MEANT TAKING A BIG RISK,1,1,1,1,1,5,5,1
122,90,1,177,-6,0,FALSE,19-Mar,her CIGARETTE HAD a LONG ASH,HIS SISTER HAD A LONG SASH,0,1,1,0,,2,4,0.5
123,-90,-1,194,-3,1,FALSE,1-Jun,PLAYING CHECKERS CAN BE FUN,DRESS,0,0,0,0,0,0,5,0
124,0,-1,76,-3,1,FALSE,13-Jan,the COW GAVE BIRTH to a CALF,HE WAS OUT OF THE ORDINARY,0,0,0,0,,0,4,0
125,0,1,47,-6,3,TRUE,19-May,BOB WORE a WATCH on his WRIST,SANDS,0,0,0,0,,0,4,0
126,0,1,183,0,1,FALSE,15-Jul,JOHNs FRONT TOOTH HAD a CHIP,JOHNS FRONT TOOTH HAD A CHIP,1,1,1,1,1,5,5,1
127,-180,-1,32,-3,2,FALSE,7-Feb,PAUL HIT the WATER with a SPLASH,THE COOK MADE MASH,0,0,0,0,,0,4,0
128,0,-1,24,-6,0,FALSE,12-Jun,RUTH HAD a NECKLACE of GLASS BEADS,THE COOK WAS OUT OF DOORS A LOT,0,0,0,0,0,0,5,0
129,0,-1,50,0,2,TRUE,14-Apr,the TEAM WAS TRAINED by their COACH,THE LOOSE BLACK TRAY ADVERTISED TOOK,0,0,0,0,,0,4,0
130,-90,-1,186,0,0,FALSE,23-Mar,the POND WAS FULL of CROAKING FROGS,THE POND WAS FULL OF CROAKING FROGS,1,1,1,1,1,5,5,1
131,0,-1,74,-3,3,TRUE,7-May,the PAPERS WERE HELD by a CLIP,NIGHT,0,0,0,0,,0,4,0
132,180,1,130,-3,3,FALSE,10-Jun,the CANDLE FLAME MELTED the WAX,THE WAS THE MOST,0,0,0,0,,0,4,0
133,0,-1,109,-6,2,FALSE,15-Feb,she SHORTENED the HEM of her SKIRT,THEY CALLED THE CAB A BIT LATE,0,0,0,,,0,3,0
134,0,1,155,-3,3,TRUE,23-May,a CHIMPANZEE IS an APE,,0,0,0,,,0,3,0
135,0,-1,197,0,0,TRUE,15-Mar,the BOY GAVE the FOOTBALL a KICK,BLONDE,0,0,0,0,,0,4,0
136,0,-1,41,0,0,FALSE,13-Jun,the SINGER WAS MOBBED by her FANS,THE SINGER WAS MOBBED BY HER FANS,1,1,1,1,,4,4,1
137,-90,-1,13,0,3,FALSE,24-Apr,the AIRPLANE DROPPED a BOMB,THE AIRPLANE DROPPED A BOMB,1,1,1,,,3,3,1
138,180,1,182,0,1,FALSE,16-Aug,a ROSEBUSH HAS PRICKLY THORNS,A ROSEBUSH HAS PRICKLY THORNS,1,1,1,1,,4,4,1
139,90,1,20,-6,1,FALSE,8-Aug,our SEATS WERE in the SECOND ROW,A HAVE A SEAT MADE CLOSE,0,0,0,0,,0,4,0
140,90,1,35,-3,2,FALSE,4-Jun,GET the BREAD and CUT me a SLICE,THE STUDENTS SAT TO TAKE THE EXAM,0,0,0,0,,0,4,0
141,0,1,43,-6,0,TRUE,1-Feb,the BABY SLEPT in his CRIB,TO BE AND SEE THE DAY,0,0,0,,,0,3,0
142,-180,-1,92,-6,3,FALSE,20-Apr,the LION GAVE an ANGRY ROAR,THE GAVE AND THEN THE WAR,0,1,0,0,,1,4,0.25
143,0,-1,16,-3,2,FALSE,9-Jan,the WAR WAS FOUGHT with ARMORED TANKS,THE WAR WAS FOUGHT WITH ARMORED TANKS,1,1,1,1,1,5,5,1
144,0,-1,184,-6,3,FALSE,3-Apr,the DUCK SWAM with the WHITE SWAN,THE WET THE GROUND WITH LOTS OF WATER,0,0,0,0,,0,4,0
145,0,1,134,-6,3,TRUE,4-Jul,PAUL TOOK a BATH in the TUB,,0,0,0,0,,0,4,0
146,180,1,181,0,2,FALSE,17-May,LET us INVITE the WHOLE GANG,LET US INVITE THE WHOLE GANG,1,1,1,1,,4,4,1
147,0,-1,117,-3,2,TRUE,16-Mar,the STORM BROKE the SAILBOATs MAST,WAS OUT ON THE SHEET,0,0,0,0,,0,4,0
148,90,1,87,-3,0,FALSE,19-Jun,the SICK CHILD SWALLOWED the PILL,GRAY CHILDS FLOATED THE WAY,0,0,0,0,,0,4,0
149,180,1,4,-3,3,FALSE,10-Apr,RUTH POURED herself a CUP of TEA,AT THE BOARDERS OF THE COUNTRIES,0,0,0,0,,0,4,0
150,0,1,68,0,0,FALSE,11-Apr,we SAW a FLOCK of WILD GEESE,WE SAW A FLOCK OF WILD GEESE,1,1,1,1,,4,4,1
151,0,1,14,0,1,TRUE,15-May,the HEAVY RAINS CAUSED a FLOOD,NOTHINGS CAUSED THE FLOOD,0,0,1,1,,2,4,0.5
152,90,1,104,0,3,FALSE,18-Apr,SPREAD SOME BUTTER on your BREAD,SPREAD SOME BUTTER ON THE BREAD,1,1,1,1,,4,4,1
153,180,1,116,-6,0,FALSE,23-Feb,HOUSEHOLD GOODS ARE MOVED in a VAN,WAS GOOD AND GOT THE STORE,0,0,0,0,0,0,5,0
154,0,1,82,-3,1,FALSE,17-Feb,the SHIPs CAPTAIN SUMMONED his CREW,THE SHIPS CAPITAN SUMMONED THE CREW,1,1,1,1,,4,4,1
155,-90,-1,96,-6,2,FALSE,22-Jul,the BOTTLE WAS SEALED with a CORK,THE BALL WAS HIT WITH THE BAR,0,1,0,0,,1,4,0.25
156,180,1,138,-6,2,FALSE,10-Aug,that JOB WAS an EASY TASK,THE JOB WAS TO KISS THE ,1,1,0,0,,2,4,0.5
157,0,-1,176,-6,3,TRUE,8-Feb,the DUCKS SWAM around on the POND,SHIPS AND SHAPES,0,0,0,,,0,3,0
158,180,1,94,0,1,FALSE,19-Aug,my JAW ACHES when I CHEW GUM,MY JAW ACHES WHEN I CHEW GUM,1,1,1,1,1,5,5,1
159,0,-1,144,0,3,FALSE,14-Jan,the SCARF WAS MADE of SHINY SILK,THE SCARF WAS MADE OF SHINY SILK,1,1,1,1,1,5,5,1
160,-90,-1,174,-3,0,FALSE,21-Jun,he RODE off in a CLOUD of DUST,WAS MADE OUT OF THE DUST,0,0,1,,,1,3,0.333333333
161,180,1,114,-3,2,FALSE,20-Mar,the SOUP WAS SERVED in a BOWL,THE SOMETHING WAS MADE IN THE STORE THAT DAY,0,1,0,0,,1,4,0.25
162,0,1,189,-6,0,FALSE,24-May,the BANDITS ESCAPED from JAIL,THE MAN MADE THE ,0,0,0,,,0,3,0
163,0,-1,48,0,1,TRUE,23-Jun,on the BEACH we PLAY in the SAND,ON THE BEACH WE PLAYED IN THE SANE,1,0,0,,,1,3,0.333333333
164,-90,-1,52,0,3,FALSE,2-May,to STORE his WOOD he BUILT a SHED,THE STORE HAS WOOD AND WAS SHUT,1,1,0,0,,2,4,0.5
165,0,1,196,-3,2,TRUE,2-Feb,the WATCHDOG GAVE a WARNING GROWL,WARNING THEM,0,0,1,0,,1,4,0.25
166,0,-1,62,-3,2,FALSE,14-Aug,a SPOILED CHILD IS a BRAT,THE DRESS REACHED DOWN TO THE FLOOR,0,0,0,0,,0,4,0
167,-90,-1,85,-6,3,FALSE,3-Jan,the PLOW WAS PULLED by an OX,THE PLOW WAS PULLED BY AN OX,1,1,1,1,,4,4,1
168,0,-1,91,-3,0,TRUE,22-Feb,the SAND WAS HEAPED in a PILE,WAS SCARED,0,1,0,0,,1,4,0.25
169,0,-1,139,-6,1,FALSE,18-Jan,the RUDE REMARK MADE her BLUSH,THE ROOM WAS PLUNGED IN DARKNESS,0,0,0,0,,0,4,0
170,180,1,72,0,0,FALSE,4-Feb,UNLOCK the DOOR and TURN the KNOB,UNLOCK THE DOOR AND TURN THE KNOB,1,1,1,1,,4,4,1
171,0,-1,100,0,0,TRUE,21-Jul,AIRMAIL REQUIRES a SPECIAL STAMP,ANVILL REQUIRES A SPECIAL ,0,1,1,0,,2,4,0.5
172,0,-1,171,0,3,FALSE,20-May,the SECRET AGENT WAS a SPY,THE SECRET AGENT WAS A SPY,1,1,1,1,,4,4,1
173,0,-1,42,-3,3,FALSE,17-Apr,the BREAD WAS MADE from WHOLE WHEAT,THE BOWL OF CEAREAL WAS OF WHEAT,0,0,0,0,1,1,5,0.2
174,180,1,3,-6,2,FALSE,11-May,EVE WAS MADE from ADAMs RIB,HE HAD A HAT MADE OF LEATHER,0,0,1,0,0,1,5,0.2
175,0,-1,146,-6,2,TRUE,16-Apr,she WORE a FEATHER in her CAP,ANYWAY,0,0,0,,,0,3,0
176,-90,-1,9,-3,1,FALSE,17-Jul,our CAT IS GOOD at CATCHING MICE,THE CATCHER THREW TO FIRST BASE,0,0,0,0,0,0,5,0
