,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Num Correct,Total,Percent
105,90,1,167,-8,2,11-Feb,the CUSHION WAS FILLED with FOAM,,0,0,0,0,,0,4,0
106,90,1,70,-4,2,19-Mar,her CIGARETTE HAD a LONG ASH,HANDS,0,0,0,0,,0,4,0
107,-180,-1,180,-4,2,6-May,he WIPED the SINK with a SPONGE,TREMBLING ,0,0,0,,,0,3,0
108,-180,-1,166,-4,3,2-Jan,STIR your COFFEE with a SPOON,BROOM,0,0,0,,,0,3,0
109,-90,-1,139,0,1,4-Jan,the OLD TRAIN WAS POWERED by STEAM,THE OLD TRAIN WAS POWERED BY STEAM,1,1,1,1,,4,4,1
110,180,1,5,-8,0,12-May,the BOAT SAILED ALONG the COAST,,0,0,0,0,,0,4,0
111,0,-1,15,-8,2,18-Jan,the RUDE REMARK MADE her BLUSH,SPLASH,0,0,0,0,,0,4,0
112,0,-1,197,0,3,19-May,BOB WORE a WATCH on his WRIST,BOB WORE THE WATCH ON HIS WRIST,1,1,1,1,,4,4,1
113,0,-1,87,-4,2,9-Apr,the MEAT from a PIG IS CALLED PORK,BEIGE THE HOLD,0,0,0,0,0,0,5,0
114,90,1,64,-4,0,1-Jun,PLAYING CHECKERS CAN BE FUN,RUN,0,0,0,0,0,0,5,0
115,-180,-1,2,0,2,11-May,EVE WAS MADE from ADAMs RIB,HE WAS MADE THE MADAMS CREEK,0,1,1,0,0,2,5,0.4
116,90,1,120,-8,3,10-Aug,that JOB WAS an EASY TASK,THE SON WAS TOP OF HIS CLASS,0,1,0,0,,1,4,0.25
117,90,1,54,-8,2,17-Mar,MR. BROWN CARVED the ROAST BEEF,,0,0,0,0,0,0,5,0
118,-90,-1,105,0,2,15-Jul,JOHNs FRONT TOOTH HAD a CHIP,JOHNS FRONT TOOTH HAD A CHIP,1,1,1,1,1,5,5,1
119,180,1,69,-8,0,11-Apr,we SAW a FLOCK of WILD GEESE,WE SAW WHITE GEESE,1,0,0,1,,2,4,0.5
120,0,1,29,-8,1,16-May,the SWIMMER DOVE into the POOL,THE SWIMMER DOVE INTO THE POOL,1,1,1,,,3,3,1
121,0,1,86,0,1,4-Apr,your KNEES and your ELBOWS ARE JOINTS,YOUR KNEES AND YOUR ELBOWS ARE JOINTS,1,1,1,1,,4,4,1
122,180,1,3,0,3,19-Feb,the CAR DROVE off the STEEP CLIFF,THE CAR DROVE OFF THE STEEP CLIFF,1,1,1,1,,4,4,1
123,0,-1,49,-4,3,14-Jan,the SCARF WAS MADE of SHINY SILK,THE SCARF MADE HER JEALOUS,1,0,1,0,0,2,5,0.4
124,-90,-1,13,-4,0,14-Aug,a SPOILED CHILD IS a BRAT,CLASS,0,0,0,0,,0,4,0
125,180,1,48,-4,0,3-Feb,the NATIVES BUILT a WOODEN HUT,US,0,0,0,0,,0,4,0
126,0,-1,188,-8,1,4-Feb,UNLOCK the DOOR and TURN the KNOB,,0,0,0,0,,0,4,0
127,90,1,170,-8,3,5-Jun,the SLEEPY CHILD TOOK a NAP,THE SLEEP JUDGED THE,1,0,0,0,,1,4,0.25
128,90,1,117,0,0,7-Apr,the STEAMSHIP LEFT on a CRUISE,THE STEAM SHIP LEFT ON THE CRUISE,1,1,1,,,3,3,1
129,180,1,60,-4,2,11-Aug,the SHEPHERD WATCHED his FLOCK of SHEEP,CHEF,0,0,0,0,,0,4,0
130,0,-1,169,0,0,24-Jul,THROW OUT all this USELESS JUNK,THROW OUT ALL THE ,1,1,0,0,,2,4,0.5
131,0,-1,177,-4,2,6-Apr,the DETECTIVES SEARCHED for a CLUE,TOO,0,0,0,,,0,3,0
132,180,1,85,-8,1,16-Jun,we SWAM at the BEACH at HIGH TIDE,EGGS,0,0,0,0,,0,4,0
133,90,1,67,-4,1,3-Jan,the PLOW WAS PULLED by an OX,THE PLOT WAS,0,1,0,0,,1,4,0.25
134,180,1,50,0,1,21-Apr,the SANDAL HAS a BROKEN STRAP,THE SANDAL HAS A BROKEN STRAP,1,1,1,1,,4,4,1
135,0,1,27,-4,2,15-Mar,the BOY GAVE the FOOTBALL a KICK,,0,0,0,0,,0,4,0
136,-180,-1,143,-8,2,24-Mar,he HIT me with a CLENCHED FIST,WRIST,0,0,0,0,,0,4,0
137,0,-1,53,-8,2,13-May,the JUDGE IS SITTING on the BENCH,,0,0,0,0,,0,4,0
138,-90,-1,130,0,3,21-Feb,the DOOR WAS OPENED just a CRACK,THE OPEN WAS OPEN JUST AJAR,0,1,1,0,,2,4,0.5
139,-180,-1,103,0,0,25-Jun,FOOTBALL IS a DANGEROUS SPORT,FOOTBALL IS A DANGEROUS SPORT,1,1,1,1,,4,4,1
140,-180,-1,73,-4,0,18-Mar,the GLASS HAD a CHIP on the RIM,,0,0,0,0,,0,4,0
141,-90,-1,71,-4,2,8-Jul,the CROOK ENTERED a GUILTY PLEA,,0,0,0,0,,0,4,0
142,0,-1,162,0,1,9-Mar,she FACED them with a FOOLISH GRIN,SHE FACED THEM WITH A FOOLISH GRIN,1,1,1,,,3,3,1
143,-90,-1,172,-8,1,4-May,the AIRPLANE WENT into a DIVE,,0,0,0,,,0,3,0
