,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Num Correct,Total,Percent
16,-90,-1,126,0,0,20-May,the SECRET AGENT WAS a SPY,THE SECRET AGENT WAS A SPY,1,1,1,1,,4,4,1
17,0,-1,116,-12,1,9-Feb,BOB STOOD with his HANDS on his HIPS,WITH HIS HANDS ON HIS HIPS,0,0,1,1,,2,4,0.5
18,-90,-1,63,-4,0,12-Jan,they TRACKED the LION to his DEN,THE,0,0,0,,,0,3,0
19,0,-1,3,0,3,4-Feb,UNLOCK the DOOR and TURN the KNOB,UNLOCK THE DOOR BY TURNING THE KNOB,1,1,1,1,,4,4,1
20,-180,-1,45,-12,3,1-Mar,KILL the BUGS with this SPRAY,NO CLUE,0,0,0,,,0,3,0
21,180,1,125,-4,2,15-Jul,JOHNs FRONT TOOTH HAD a CHIP,NO CLUE,0,0,0,0,0,0,5,0
22,90,1,159,-8,3,13-May,the JUDGE IS SITTING on the BENCH,NO CLUE,0,0,0,0,,0,4,0
23,180,1,170,0,2,1-May,"it IS GETTING DARK, so LIGHT the LAMP",IT IS GETTING DARK SO LIGHT THE LAMPS,1,1,1,1,1,5,5,1
24,90,1,96,0,1,21-Feb,the DOOR WAS OPENED just a CRACK,THE DOOR WAS OPEN JUST,1,1,1,0,,3,4,0.75
25,-90,-1,123,-8,0,13-Feb,this NOZZLE SPRAYS a FINE MIST,FIREPLACE,0,0,0,0,,0,4,0
26,-180,-1,181,-4,0,5-Apr,RAISE the FLAG up the POLE,NO CLUE,0,0,0,,,0,3,0
27,0,-1,32,-4,2,25-Jun,FOOTBALL IS a DANGEROUS SPORT,NO CLUE,0,0,0,0,,0,4,0
28,180,1,44,0,2,25-Apr,a ZEBRA HAS BLACK and WHITE STRIPES,A ZEBRA HAS BLACK AND WHITE STRIPES,1,1,1,1,1,5,5,1
29,0,1,22,0,1,21-Apr,the SANDAL HAS a BROKEN STRAP,THE SANDAL HAS A BROKEN STRAP,1,1,1,1,,4,4,1
30,180,1,62,-8,0,17-Jan,the BEER DRINKERS RAISED their MUGS,NO CLUE,0,0,0,0,,0,4,0
31,-90,-1,41,-4,1,22-Jun,the BLOODHOUND FOLLOWED the TRAIL,THE       FOLLOWED ,0,1,0,,,1,3,0.333333333
32,90,1,101,-12,3,16-Jun,we SWAM at the BEACH at HIGH TIDE,NO CLUE,0,0,0,0,,0,4,0
33,-180,-1,172,-12,0,12-Apr,how DID your CAR GET that DENT,THE TENT,0,0,0,0,,0,4,0
34,0,-1,66,-8,3,18-Apr,SPREAD SOME BUTTER on your BREAD,NO CLUE,0,0,0,0,,0,4,0
35,0,1,127,-12,1,9-May,the FUR COAT WAS MADE of MINK,THE    WAS MADE OF    ,0,0,1,0,,1,4,0.25
36,90,1,4,0,2,3-Apr,the DUCK SWAM with the WHITE SWAN,THE DUCKS SWAM TO THE WHITE SWAN,1,1,1,1,,4,4,1
37,-180,-1,21,-8,1,11-Apr,we SAW a FLOCK of WILD GEESE,NO CLUE,0,0,0,0,,0,4,0
38,90,1,175,-12,0,12-Feb,RUTH POURED the WATER down the DRAIN,NO CLUE,0,0,0,0,,0,4,0
39,-180,-1,128,-12,0,15-Jun,the CANDLE BURNED with a BRIGHT FLAME,NO CLUE,0,0,0,0,,0,4,0
40,-180,-1,18,-4,2,10-Jul,"to OPEN the JAR, TWIST the LID",NO CLUE,0,0,0,0,,0,4,0
41,0,-1,31,-4,1,21-Aug,BOB WAS CUT by the JACKKNIFEs BLADE,BOB WAS,1,1,0,0,0,2,5,0.4
42,-90,-1,165,-4,2,17-May,LET us INVITE the WHOLE GANG,NO CLUE,0,0,0,0,,0,4,0
43,-90,-1,61,-8,0,9-Apr,the MEAT from a PIG IS CALLED PORK,THE BEES,0,0,0,0,0,0,5,0
44,0,-1,194,0,2,8-Apr,TREE TRUNKS ARE COVERED with BARK,TREE TRUNKS ARE COVERED WITH BARK,1,1,1,1,1,5,5,1
45,0,-1,69,-8,3,14-May,CUT a PIECE of MEAT from the ROAST,NO CLUE,0,0,0,0,,0,4,0
46,0,-1,84,-12,0,13-Aug,the BAD NEWS CAME as a SHOCK,THE ,0,0,0,0,,0,4,0
47,180,1,54,0,1,17-Jul,our CAT IS GOOD at CATCHING MICE,OUR CAT IS GOOD AT CATCHING MICE,1,1,1,1,1,5,5,1
48,180,1,164,0,0,4-May,the AIRPLANE WENT into a DIVE,THE AIRPLANE WENT TO A DIVE,1,1,1,,,3,4,0.75
49,180,1,25,-4,0,22-Jul,the BOTTLE WAS SEALED with a CORK,THE  WAS SEALED,0,1,1,0,,2,4,0.5
50,-180,-1,114,-12,1,6-Jul,they PLAYED a GAME of CAT and MOUSE,NO CLUE,0,0,0,0,,0,4,0
51,180,1,121,-8,3,10-Jan,they DRANK a WHOLE BOTTLE of GIN,NO CLUE,0,0,0,0,,0,4,0
52,0,-1,73,-4,3,15-Aug,the DROWNING MAN LET OUT a YELL,THE   ,0,0,0,0,0,0,5,0
53,0,-1,115,0,0,23-Mar,the POND WAS FULL of CROAKING FROGS,THE POND WAS FULL OF CROAKING FROGS,1,1,1,1,1,5,5,1
54,90,1,183,-12,0,9-Mar,she FACED them with a FOOLISH GRIN,NO CLUE,0,0,0,,,0,3,0
55,0,1,146,-12,0,14-Mar,he TOSSED the DROWNING MAN a ROPE,NO CLUE,0,0,0,0,,0,4,0
56,90,1,120,-8,3,10-Mar,WATERMELONS HAVE LOTS of SEEDS,NO CLUE ,0,0,0,0,,0,4,0
57,-90,-1,12,-4,3,8-Aug,our SEATS WERE in the SECOND ROW,NO CLUE,0,0,0,0,,0,4,0
58,0,-1,122,-8,1,12-Jun,RUTH HAD a NECKLACE of GLASS BEADS,NO CLUE,0,0,0,0,0,0,5,0
59,-90,-1,137,0,2,20-Jun,the BURGLAR ESCAPED with the LOOT,THE BIRD ESCAPED ,0,1,0,,,1,3,0.333333333
60,-90,-1,2,0,3,24-Mar,he HIT me with a CLENCHED FIST,HE HIT ME WITH A CLENCHED FIST,1,1,1,,,3,3,1
61,0,-1,166,0,2,25-May,the LANDLORD RAISED the RENT,THE LANDLORD RAISED THE RENT,1,1,1,,,3,3,1
62,-90,-1,59,-12,1,4-Mar,my T.V. HAS a TWELVE-INCH SCREEN,NO CLUE,0,0,0,0,,0,4,0
63,180,1,9,-12,2,22-May,ANN WORKS in the BANK as a CLERK,NO CLUE,0,0,0,0,,0,4,0
64,180,1,129,0,1,18-Mar,the GLASS HAD a CHIP on the RIM,THE   ON THE RIM,0,0,0,1,,1,4,0.25
65,180,1,77,-4,0,5-Mar,that ACCIDENT GAVE me a SCARE,NO CLUE,0,0,0,,,0,3,0
66,0,1,145,-8,2,21-Jan,MARY WORE her HAIR in BRAIDS,NO CLUE,0,0,0,0,,0,4,0
67,90,1,171,-4,0,14-Apr,the TEAM WAS TRAINED by their COACH,THE WAS BY ,0,1,0,0,,1,4,0.25
68,0,-1,83,-12,2,6-Jan,the DOCTOR PRESCRIBED the DRUG,NO CLUE,0,0,0,,,0,3,0
69,90,1,163,-8,2,15-May,the HEAVY RAINS CAUSED a FLOOD,THE ,0,0,0,0,,0,4,0
70,0,1,110,-4,3,25-Mar,a BICYCLE HAS TWO WHEELS,NO CLUE,0,0,0,0,,0,4,0
71,-180,-1,36,-8,3,9-Jun,the WIDOWs SOB EXPRESSED her GRIEF,NO CLUE,0,0,0,0,,0,4,0
72,-180,-1,98,-8,0,16-May,the SWIMMER DOVE into the POOL,THE SWIMMER DOVE INTO THE POOL,1,1,1,,,3,3,1
73,-90,-1,30,-4,3,8-Jan,the DOG CHEWED on a BONE,    THE BOAT,0,0,0,,,0,3,0
74,-180,-1,81,-12,3,24-Jun,she HATED to VACUUM the RUG,SHE ,0,0,0,,,0,3,0
75,0,-1,20,0,1,13-Apr,she MADE the BED with CLEAN SHEETS,SHE MADE THE BED WITH CLEAN SHEETS,1,1,1,1,,4,4,1
76,-180,-1,38,-4,1,20-Apr,the LION GAVE an ANGRY ROAR,NO CLUE,0,0,0,0,,0,4,0
77,0,1,42,-4,2,20-Feb,the POLICEMEN CAPTURED the CROOK,THE BREEZE ,0,0,0,,,0,3,0
78,0,-1,142,-12,0,17-Apr,the BREAD WAS MADE from WHOLE WHEAT,NO CLUE,0,0,0,0,0,0,5,0
79,90,1,168,0,3,15-Apr,i HAVE GOT a COLD and a SORE THROAT,I GOT A COLD AND A SORE THROAT,0,1,1,1,1,4,5,0.8
80,0,-1,79,-8,1,13-Mar,the SAILOR SWABBED the DECK,THE      SWAPPED THE ,0,0,0,,,0,3,0
81,-90,-1,149,-12,1,25-Feb,the FARMER BALED the HAY,THE FARMER ,1,0,0,,,1,3,0.333333333
82,-90,-1,37,-8,0,20-Mar,the SOUP WAS SERVED in a BOWL,BOWL,0,0,0,1,,1,4,0.25
83,-180,-1,150,0,0,17-Feb,the SHIPs CAPTAIN SUMMONED his CREW,THE SHIP CAPTAIN SUMMONNED HIS CREW,1,1,1,1,,4,4,1
84,-90,-1,58,-4,0,10-Aug,that JOB WAS an EASY TASK,THE JOB WAS,1,1,0,0,,2,4,0.5
85,90,1,10,0,3,22-Feb,the SAND WAS HEAPED in a PILE,THE SAND WAS IN A PILE,1,1,0,1,,3,4,0.75
86,0,-1,15,-4,0,24-Feb,FOLLOW this ROAD around the BEND,AROUND THE,0,0,0,,,0,3,0
87,0,1,176,0,3,2-Aug,i CUT my FINGER with a KNIFE,I CUT MY FINGER WITH A KNIFE,1,1,1,,,3,3,1
88,0,1,8,-12,3,11-Jan,the WITNESS TOOK a SOLEMN OATH,BOTH,0,0,0,0,,0,4,0
89,-180,-1,182,-4,3,7-Apr,the STEAMSHIP LEFT on a CRUISE,NO CLUE,0,0,0,,,0,3,0
90,180,1,140,-8,2,23-Jul,CUT the BACON into STRIPS,NO CLUE,0,0,0,,,0,3,0
91,0,-1,144,-8,0,17-Jun,we GOT DRUNK in the LOCAL BAR,NO CLUE,0,0,0,0,,0,4,0
92,180,1,190,0,3,7-Mar,the GIRL SWEPT the FLOOR with a BROOM,I GUARANTEE ,0,0,0,0,,0,4,0
93,-90,-1,13,-12,0,25-Jul,the SHIPWRECKED SAILORS BUILT a RAFT,THE SHIP WAS SAILED,0,0,0,0,,0,4,0
94,90,1,192,-8,0,21-May,the RANCHER ROUNDED UP his HERD,THE ,0,0,0,0,,0,4,0
95,-180,-1,87,-12,0,18-Jan,the RUDE REMARK MADE her BLUSH,NO CLUE,0,0,0,0,,0,4,0
96,-90,-1,112,-8,3,24-Aug,CUT the MEAT into SMALL CHUNKS,SMALL,0,0,1,0,,1,4,0.25
97,90,1,199,-12,0,20-Jul,his BOSS MADE him WORK like a SLAVE,SAFE,0,0,0,0,,0,4,0
98,0,1,187,-12,2,2-Jan,STIR your COFFEE with a SPOON,EXPOSED,0,0,0,,,0,3,0
99,180,1,152,-8,2,19-Mar,her CIGARETTE HAD a LONG ASH,NO CLUE,0,0,0,0,,0,4,0
100,0,1,117,0,3,12-Aug,DAVID WIPED the SWEAT from his BROW,NO CLUE,0,0,0,0,,0,4,0
101,0,1,74,-8,0,16-Aug,a ROSEBUSH HAS PRICKLY THORNS,A ROSE  THORNS,0,0,0,1,,1,4,0.25
102,90,1,55,-4,1,11-Feb,the CUSHION WAS FILLED with FOAM,THE SHIP WAS,0,0,0,0,,0,4,0
103,-180,-1,75,-12,1,1-Aug,my TURTLE WENT into its SHELL,MY SHIRT IS ,0,0,0,,,0,3,0
104,-90,-1,198,0,1,21-Mar,the LONELY BIRD SEARCHED for its MATE,THE LONELY BIRD SEARCHED FOR HIS MATE ,1,1,1,1,,4,4,1
105,-180,-1,133,0,0,16-Jul,at BREAKFAST he DRANK SOME JUICE,AT BREAKFAST HE DRINKS SOME JUICE,1,1,1,1,,4,4,1
106,180,1,33,-4,2,7-Jul,the THREAD WAS WOUND on a SPOOL,SPOON,0,0,0,0,,0,4,0
107,0,1,147,-4,0,19-Jul,how LONG CAN you HOLD your BREATH,BREATH,0,0,0,1,,1,4,0.25
108,-90,-1,130,-12,2,18-Jul,the STALE BREAD WAS COVERED with MOLD,WITH ,0,0,0,0,0,0,5,0
109,0,-1,179,0,0,6-Jun,"instead of a FENCE, PLANT a HEDGE",INSTEAD OF A FENCE PLANT A HEDGE,1,1,1,,,3,3,1
110,-90,-1,29,0,2,8-Jun,they FISHED in the BABBLING BROOK,THEY FISH IN THE          POND,1,0,0,,,1,3,0.333333333
111,180,1,153,-4,3,8-Feb,the DUCKS SWAM around on the POND,THE DUCKS,1,0,0,,,1,3,0.333333333
112,180,1,34,-12,2,19-Feb,the CAR DROVE off the STEEP CLIFF,NO CLUE,0,0,0,0,,0,4,0
113,0,1,14,-8,2,23-Jan,no one WAS INJURED in the CRASH,NO CLUE,0,0,0,,,0,3,0
114,0,-1,64,-12,1,10-May,the BOY TOOK SHELTER in a CAVE,THE BOY      CAVE,1,0,0,1,,2,4,0.5
115,180,1,100,0,2,1-Jul,you CUT the WOOD against the GRAIN,YOU CUT THE WOOD AGAINST THE ,1,1,0,,,2,3,0.666666667
116,-180,-1,0,-8,1,12-May,the BOAT SAILED ALONG the COAST,ALONG THE COAST ,0,0,1,1,,2,4,0.5
117,90,1,148,-8,2,20-Jan,he KILLED the DRAGON with his SWORD,WITH HIS ,0,0,0,,,0,3,0
118,0,1,95,-4,1,10-Apr,RUTH POURED herself a CUP of TEA,HAVE ,0,0,0,0,,0,4,0
119,90,1,173,-4,2,5-Feb,WIPE your GREASY HANDS on the RAG,NO CLUE,0,0,0,0,,0,4,0
120,90,1,26,-4,3,21-Jul,AIRMAIL REQUIRES a SPECIAL STAMP,NO CLUE,0,0,0,0,,0,4,0
121,-90,-1,97,0,1,23-Feb,HOUSEHOLD GOODS ARE MOVED in a VAN,THE BOX HAD MOVED IN THE VAN ,0,0,0,1,1,2,5,0.4
122,180,1,193,-12,2,3-Jul,his PANTS WERE HELD up by a BELT,NO CLUE,0,0,0,0,,0,4,0
123,-180,-1,16,-8,1,4-Apr,your KNEES and your ELBOWS ARE JOINTS,NO CLUE  ,0,0,0,0,,0,4,0
124,0,-1,135,-8,2,24-Jul,THROW OUT all this USELESS JUNK,THE ,0,0,0,0,,0,4,0
125,90,1,43,-8,1,15-Feb,she SHORTENED the HEM of her SKIRT,SEA SHORE,0,0,0,,,0,3,0
126,0,1,68,-4,1,6-Aug,the BRIDE WORE a WHITE GOWN,THE BRIDE WORE A WHITE GOWN ,1,1,1,1,,4,4,1
127,-90,-1,178,-12,2,4-Jun,GET the BREAD and CUT me a SLICE,NO CLUE,0,0,0,0,,0,4,0
128,-180,-1,17,0,3,16-Jan,for DESSERT he HAD APPLE PIE,FOR DESERT HE HAD APPLE PIE,1,1,1,1,,4,4,1
129,180,1,108,-4,2,2-May,to STORE his WOOD he BUILT a SHED,NO CLUE,0,0,0,0,,0,4,0
130,0,1,92,-12,3,18-May,the HOUSE WAS ROBBED by a THIEF,THE    WAS ROBBED BY A THIEF,0,1,1,1,,3,4,0.75
131,0,1,184,0,0,2-Jul,the COP WORE a BULLET-PROOF VEST,THE COP WORE A BULLET PROOF VEST,1,1,1,1,,4,4,1
132,90,1,162,-12,2,8-May,the CHICKS FOLLOWED the MOTHER HEN,THE    WAS FOLLOWED ,0,1,0,0,,1,4,0.25
133,-180,-1,28,0,1,18-Aug,the RAILROAD TRAIN RAN off the TRACK,THE RAILROAD TRAIN WENT OFF THE TRACKS,1,1,0,1,,3,4,0.75
134,0,1,113,-8,2,3-Jun,the GAMBLER LOST the BET,THE  LOST THE ,0,1,0,,,1,3,0.333333333
135,-180,-1,158,-12,3,16-Feb,the GUESTS WERE WELCOMED by the HOST,GHOST ,0,0,0,0,,0,4,0
136,180,1,154,-8,1,1-Jun,PLAYING CHECKERS CAN BE FUN,NO CLUE,0,0,0,0,0,0,5,0
137,0,-1,103,-4,1,19-May,BOB WORE a WATCH on his WRIST,BOB WORE A WHITE ,1,1,0,0,,2,4,0.5
138,90,1,89,0,1,5-Jul,MAPLE SYRUP is MADE from SAP,MAPPLE SYRUP IS MADE FROM SAP,1,1,1,1,,4,4,1
139,90,1,141,-4,2,18-Jun,a TERMITE LOOKS like an ANT,THE SOAP ,0,0,0,,,0,3,0
140,0,1,27,-12,2,7-Aug,i CANNOT GUESS so GIVE me a HINT,NO CLUE,0,0,0,0,,0,4,0
141,-90,-1,124,-8,2,24-Apr,the AIRPLANE DROPPED a BOMB,THE YEAR,0,0,0,,,0,3,0
142,0,1,47,0,3,7-Feb,PAUL HIT the WATER with a SPLASH,PAUL HIT THE WASTER WITH A SPLASH,1,1,1,1,,4,4,1
143,180,1,49,-4,1,3-May,the MOUSE WAS CAUGHT in the TRAP,THE MOUSE WAS CAUGHT IN THE TRAP,1,1,1,1,,4,4,1
144,180,1,80,-4,3,17-Mar,MR. BROWN CARVED the ROAST BEEF,ROAD,0,0,0,0,0,0,5,0
145,90,1,91,-4,1,11-Jun,he WAS HIT by a POISONED DART,HE WAS HIT BY A ,1,1,0,0,,2,4,0.5
146,-90,-1,40,-8,1,23-Apr,her ENTRY SHOULD WIN FIRST PRIZE,WENT,0,0,0,0,0,0,5,0
147,0,1,99,0,1,1-Feb,the BABY SLEPT in his CRIB,THE BABY SLEPT IN HIS CRIB,1,1,1,,,3,3,1
148,-180,-1,155,-12,1,6-May,he WIPED the SINK with a SPONGE,WITH A SPLASH,0,0,0,,,0,3,0
149,-90,-1,151,-12,3,13-Jun,the SINGER WAS MOBBED by her FANS,HIS   WAS    BY A,0,1,0,0,,1,4,0.25
150,0,-1,161,-4,0,15-Jan,the SUPER HIGHWAY HAS SIX LANES,NO CLUE,0,0,0,0,0,0,5,0
151,0,-1,197,-12,3,21-Jun,he RODE off in a CLOUD of DUST,NO CLUE,0,0,0,,,0,3,0
152,90,1,71,0,0,18-Feb,the FLOOD TOOK a HEAVY TOLL,THE FLOOD TOOK A HEAVY ,1,1,1,0,,3,4,0.75
153,-180,-1,57,-8,0,11-Jul,TIGHTEN the BELT by a NOTCH,NO CLUE,0,0,0,,,0,3,0
154,180,1,157,0,1,7-Jun,DROP the COIN through the SLOT,DROPE THE COIN THROUGH THE SLOT,1,1,1,,,3,3,1
155,0,1,107,-8,0,3-Aug,GREET the HEROES with LOUD CHEERS,WITHOUT CHEESE,0,0,0,0,,0,4,0
156,0,1,189,0,0,12-Jul,the COOKIES WERE KEPT in a JAR,THE COOKIES WERE KEPT IN A JAR,1,1,1,1,,4,4,1
157,-180,-1,53,-4,3,13-Jan,the COW GAVE BIRTH to a CALF,NO CLUE,0,0,0,0,,0,4,0
158,180,1,52,-12,2,14-Jan,the SCARF WAS MADE of SHINY SILK,NO CLUE,0,0,0,0,0,0,5,0
159,-90,-1,186,-8,3,6-Apr,the DETECTIVES SEARCHED for a CLUE,FOR YOU,0,0,0,,,0,3,0
160,-90,-1,169,-12,3,2-Feb,the WATCHDOG GAVE a WARNING GROWL,THE WATCH ,0,0,0,0,,0,4,0
161,-180,-1,136,0,3,22-Apr,he IS EMPLOYED by a LARGE FIRM,HE IS EMPLOYED BY A LARGE FIRM ,1,1,1,1,,4,4,1
162,180,1,167,-8,2,4-Jul,PAUL TOOK a BATH in the TUB,THE ,0,0,0,0,,0,4,0
163,-90,-1,109,0,0,19-Jun,the SICK CHILD SWALLOWED the PILL,THE SICK CHILD SWALLOWED THE PILL ,1,1,1,1,,4,4,1
164,0,1,11,-12,0,14-Aug,a SPOILED CHILD IS a BRAT,THE SPOILED CHILD IS A BRAT ,1,1,1,1,,4,4,1
165,-90,-1,195,-4,0,9-Jan,the WAR WAS FOUGHT with ARMORED TANKS,THE WAR WAS FOUGHT WITH ,1,1,1,0,0,3,5,0.6
166,0,1,23,-8,3,10-Feb,the CIGARETTE SMOKE FILLED his LUNGS,SMOKE ,0,1,0,0,,1,4,0.25
167,0,1,102,-4,3,3-Mar,we SHIPPED the FURNITURE by TRUCK,FURNITURE ,0,1,0,,,1,3,0.333333333
168,0,1,46,-12,3,12-Mar,the TEACHER SAT on a SHARP TACK,SHARP ,0,0,1,0,,1,4,0.25
169,0,-1,93,-4,3,3-Jan,the PLOW WAS PULLED by an OX,THE PLOW WAS PULLED BY AN OX,1,1,1,1,,4,4,1
170,90,1,188,-8,1,24-Jan,my SON HAS a DOG for a PET,HAS A FOR A,0,1,0,0,,1,4,0.25
171,90,1,191,-12,2,7-Jan,HOLD the BABY on your LAP,NO CLUE,0,0,0,,,0,3,0
172,180,1,88,-8,3,13-Jul,the MARKSMAN TOOK CAREFUL AIM,NO CLUE,0,0,0,0,,0,4,0
173,-90,-1,134,-4,3,19-Aug,my JAW ACHES when I CHEW GUM,IS ,0,0,0,0,,0,4,0
174,180,1,104,0,2,5-Jan,LET us DECIDE by TOSSING a COIN,LET US DECIDE BY TOSSING A COIN ,1,1,1,1,,4,4,1
175,-180,-1,65,-12,3,14-Jul,i ATE a PIECE of CHOCOLATE FUDGE,FUDGE ,0,0,0,1,,1,4,0.25
176,-90,-1,51,0,2,7-May,the PAPERS WERE HELD by a CLIP,THE PAPERS WERE HELD BY A CLIP ,1,1,1,1,,4,4,1
177,0,-1,196,-8,1,24-May,the BANDITS ESCAPED from JAIL,THE MAN ESCAPED FROM JAIL ,0,1,1,,,2,3,0.666666667
178,0,1,139,0,2,2-Mar,how MUCH CAN I BUY for a DIME,HOW MUCH YOU   FOR A DIME,1,0,0,1,,2,4,0.5
179,180,1,119,-4,1,14-Jun,the FRUIT WAS SHIPPED in WOODEN CRATES,WAS SHIPPED ,0,1,1,0,0,2,5,0.4
180,-90,-1,6,0,3,19-Jan,we HEARD the TICKING of the CLOCK,WE HEARD THE TICKING OF THE CLOCK,1,1,1,,,3,3,1
181,180,1,105,-8,2,1-Apr,the DOCTOR X-RAYED his CHEST,THE DOCTOR ,1,0,0,,,1,3,0.333333333
182,90,1,70,-8,2,6-Mar,the KING WORE a GOLDEN CROWN,HE ,0,0,0,0,,0,4,0
183,180,1,86,-12,1,4-Jan,the OLD TRAIN WAS POWERED by STEAM,NO CLUE,0,0,0,0,0,0,5,0
184,0,1,35,-8,0,11-May,EVE WAS MADE from ADAMs RIB,HE WAS ,0,1,0,0,0,1,5,0.2
185,0,1,143,-4,2,16-Apr,she WORE a FEATHER in her CAP,SHE WORE    CAP,1,0,1,,,2,3,0.666666667
186,180,1,48,0,0,8-Mar,the NURSE GAVE him FIRST AID,THE NURSE APPLIED FIRST AID,1,0,1,1,,3,4,0.75
187,90,1,72,-4,1,14-Feb,the SPORT SHIRT HAS SHORT SLEEVES,THE SWEATSHIRT HAS SHORT SLEEVES ,0,1,1,1,1,4,5,0.8
188,90,1,50,-12,1,25-Jan,he WAS SCARED out of his WITS,HE WAS   OUT OF ,1,0,0,,,1,3,0.333333333
189,-180,-1,60,-4,1,16-Mar,the STORM BROKE the SAILBOATs MAST,THE STORM ,1,0,0,0,,1,4,0.25
190,0,-1,1,-12,1,5-Jun,the SLEEPY CHILD TOOK a NAP,THE     CHILD ,0,1,0,0,,1,4,0.25
191,0,1,5,0,1,11-Mar,USE this SPRAY to KILL the BUGS,USE THIS SPRAY TO KILL THE BUGS ,1,1,1,1,,4,4,1
